,Midpoint,matriculacion,color_uni,Histogram_column,start_rect,end_rect,height_rect
0,1915 ,Humanidades_filosofia,#d13e36,0,0.0,1.0,1.0
2,1915 ,ciencias_inespecificado,#a1bcdc,1,1.0,2.0,1.0
4,1917 ,Humanidades_filosofia,#d13e36,0,0.0,1.0,1.0
6,1917 ,ciencias_inespecificado,#a1bcdc,4,4.0,5.0,1.0
8,1917 ,ciencias_medicina,#6b7758,1,1.0,2.0,1.0
10,1917 ,ciencias_naturales,#75a6b1,3,3.0,4.0,1.0
12,1918 ,Humanidades_filosofia,#d13e36,0,0.0,1.0,1.0
14,1918 ,Humanidades_historia,#e86b53,1,1.0,2.0,1.0
16,1918 ,ciencias_farmacia,#8f9977,3,3.0,6.0,3.0
18,1919 ,Humanidades_filosofia,#d13e36,0,0.0,8.0,8.0
20,1919 ,ciencias_farmacia,#8f9977,9,9.0,13.0,4.0
22,1919 ,ciencias_inespecificado,#a1bcdc,13,13.0,14.0,1.0
24,1920 ,Humanidades_filosofia,#d13e36,0,0.0,3.0,3.0
26,1920 ,ciencias_farmacia,#8f9977,4,4.0,15.0,11.0
28,1921 ,Humanidades_derecho,#a5481e,0,0.0,1.0,1.0
30,1921 ,Humanidades_filosofia,#d13e36,2,2.0,3.0,1.0
32,1921 ,ciencias_farmacia,#8f9977,4,4.0,36.0,32.0
34,1921 ,ciencias_fisica,#948fa0,36,36.0,37.0,1.0
36,1921 ,ciencias_medicina,#6b7758,38,38.0,39.0,1.0
38,1921 ,ciencias_naturales,#75a6b1,40,40.0,42.0,2.0
40,1921 ,ciencias_odontologia,#a7b48b,43,43.0,46.0,3.0
42,1921 ,ciencias_quimica,#c0bdc8,46,46.0,47.0,1.0
44,1922 ,Humanidades_derecho,#a5481e,0,0.0,1.0,1.0
46,1922 ,Humanidades_filosofia,#d13e36,2,2.0,13.0,11.0
48,1922 ,Humanidades_historia,#e86b53,14,14.0,15.0,1.0
50,1922 ,ciencias_farmacia,#8f9977,16,16.0,59.0,43.0
52,1922 ,ciencias_medicina,#6b7758,60,60.0,68.0,8.0
54,1922 ,ciencias_naturales,#75a6b1,68,68.0,69.0,1.0
56,1922 ,ciencias_odontologia,#a7b48b,70,70.0,71.0,1.0
58,1922 ,ciencias_quimica,#c0bdc8,71,71.0,72.0,1.0
60,1923 ,Humanidades_derecho,#a5481e,0,0.0,2.0,2.0
62,1923 ,Humanidades_filosofia,#d13e36,3,3.0,7.0,4.0
64,1923 ,Humanidades_historia,#e86b53,7,7.0,8.0,1.0
66,1923 ,Humanidades_letras,#bd8a70,9,9.0,22.0,13.0
68,1923 ,ciencias_farmacia,#8f9977,23,23.0,59.0,36.0
70,1923 ,ciencias_matematicas,#e1dde5,59,59.0,60.0,1.0
72,1923 ,ciencias_medicina,#6b7758,61,61.0,70.0,9.0
74,1923 ,ciencias_odontologia,#a7b48b,71,71.0,73.0,2.0
76,1923 ,ciencias_quimica,#c0bdc8,73,73.0,74.0,1.0
78,1924 ,Humanidades_derecho,#a5481e,0,0.0,4.0,4.0
80,1924 ,Humanidades_economia,#df7226,4,4.0,5.0,1.0
82,1924 ,Humanidades_filosofia,#d13e36,6,6.0,41.0,35.0
84,1924 ,ciencias_farmacia,#8f9977,42,42.0,79.0,37.0
86,1924 ,ciencias_fisica,#948fa0,79,79.0,80.0,1.0
88,1924 ,ciencias_medicina,#6b7758,81,81.0,87.0,6.0
90,1924 ,ciencias_naturales,#75a6b1,88,88.0,89.0,1.0
92,1924 ,ciencias_oceanografia,#b6d6df,89,89.0,90.0,1.0
94,1924 ,ciencias_odontologia,#a7b48b,91,91.0,94.0,3.0
96,1924 ,ciencias_quimica,#c0bdc8,94,94.0,95.0,1.0
98,1925 ,Humanidades_derecho,#a5481e,0,0.0,1.0,1.0
100,1925 ,Humanidades_filosofia,#d13e36,2,2.0,6.0,4.0
102,1925 ,Humanidades_historia,#e86b53,6,6.0,7.0,1.0
104,1925 ,Humanidades_letras,#bd8a70,8,8.0,17.0,9.0
106,1925 ,ciencias_farmacia,#8f9977,18,18.0,68.0,50.0
108,1925 ,ciencias_medicina,#6b7758,69,69.0,83.0,14.0
110,1925 ,ciencias_oceanografia,#b6d6df,83,83.0,84.0,1.0
112,1925 ,ciencias_odontologia,#a7b48b,85,85.0,91.0,6.0
114,1925 ,ciencias_oftalmologia,#c6cdae,92,92.0,93.0,1.0
116,1925 ,ciencias_quimica,#c0bdc8,93,93.0,94.0,1.0
118,1926 ,Humanidades_derecho,#a5481e,0,0.0,3.0,3.0
120,1926 ,Humanidades_filologia,#915a3a,3,3.0,4.0,1.0
122,1926 ,Humanidades_filosofia,#d13e36,5,5.0,33.0,28.0
124,1926 ,Humanidades_historia,#e86b53,33,33.0,34.0,1.0
126,1926 ,Humanidades_letras,#bd8a70,35,35.0,40.0,5.0
128,1926 ,ciencias_farmacia,#8f9977,41,41.0,113.0,72.0
130,1926 ,ciencias_medicina,#6b7758,114,114.0,126.0,12.0
132,1926 ,ciencias_naturales,#75a6b1,127,127.0,130.0,3.0
134,1926 ,ciencias_odontologia,#a7b48b,131,131.0,137.0,6.0
